id,nombre,codigo,programa,correo
1,Valentina Ríos Cárdenas,12242557898,Contaduría Pública,vrios1@uan.edu.co
2,Santiago Peña Molina,12242411359,Ingeniería de Sistemas,spena2@uan.edu.co
3,Mariana Cifuentes Ortiz,12242406214,Contaduría Pública,mcifuentes3@uan.edu.co
4,Sebastián Rojas Guerrero,12242329926,Ingeniería de Sistemas,srojas4@uan.edu.co
5,Isabella Mendoza Prieto,12242585858,Ingeniería de Sistemas,imendoza5@uan.edu.co
6,Nicolás Arévalo Sáenz,12242499617,Administración de Empresas,narevalo6@uan.edu.co
7,Camila Beltrán Osorio,12242330642,Psicología,cbeltran7@uan.edu.co
8,Samuel Quintero Lara,12242444085,Contaduría Pública,squintero8@uan.edu.co
9,Sofía Naranjo Bermúdez,12242531939,Ingeniería de Sistemas,snaranjo9@uan.edu.co
10,Andrés Villalba Cruz,12242563077,Administración de Empresas,avillalba10@uan.edu.co
11,Laura Céspedes Rincón,12242482316,Ingeniería Industrial,lcespedes11@uan.edu.co
12,Tomás Galindo Amaya,12242461636,Administración de Empresas,tgalindo12@uan.edu.co
13,Daniela Escobar Pinzón,12242386116,Administración de Empresas,descobar13@uan.edu.co
14,Juan Salazar Trujillo,12242554357,Psicología,jsalazar14@uan.edu.co
15,Gabriela Montoya Ruiz,12242307070,Administración de Empresas,gmontoya15@uan.edu.co
16,Emmanuel Cárdenas Vega,12242433937,Psicología,ecardenas16@uan.edu.co
17,Luciana Forero Duarte,12242549888,Contaduría Pública,lforero17@uan.edu.co
18,Martín Aguilar Bonilla,12242520714,Psicología,maguilar18@uan.edu.co
19,Antonella Reyes Camargo,12242513075,Psicología,areyes19@uan.edu.co
20,Felipe Zambrano Nieto,12242472957,Ingeniería Industrial,fzambrano20@uan.edu.co
21,Renata Lozano Serrano,12242598821,Psicología,rlozano21@uan.edu.co
22,Alejandro Pardo Estrada,12242307467,Psicología,apardo22@uan.edu.co
23,Salomé Cortés Jiménez,12242563535,Administración de Empresas,scortes23@uan.edu.co
24,Emilio Bustos Maldonado,12242400411,Contaduría Pública,ebustos24@uan.edu.co
25,Manuela Vargas Leiva,12242541351,Ingeniería Industrial,mvargas25@uan.edu.co
26,Matías Solano Rueda,12242328314,Contaduría Pública,msolano26@uan.edu.co
27,Juliana Hoyos Barrera,12242416898,Ingeniería Industrial,jhoyos27@uan.edu.co
28,Ángel Mejía Calderón,12242437395,Contaduría Pública,amejia28@uan.edu.co
29,Paulina Rodríguez Ospina,12242309798,Contaduría Pública,prodriguez29@uan.edu.co
30,Diego Acosta Fajardo,12242576593,Ingeniería de Sistemas,dacosta30@uan.edu.co
31,Verónica Suárez Gómez,12242401812,Psicología,vsuarez31@uan.edu.co
32,Ignacio Parra Restrepo,12242367619,Ingeniería Electrónica,iparra32@uan.edu.co
33,Amelia Cano Delgado,12242307647,Ingeniería Industrial,acano33@uan.edu.co
34,Joaquín Medina Tovar,12242596857,Ingeniería de Sistemas,jmedina34@uan.edu.co
35,Catalina Bernal Silva,12242464646,Administración de Empresas,cbernal35@uan.edu.co
36,Rafael Uribe Castaño,12242552660,Contaduría Pública,ruribe36@uan.edu.co
37,Elena Márquez Pineda,12242398155,Ingeniería Electrónica,emarquez37@uan.edu.co
38,Simón Duque Valencia,12242586767,Contaduría Pública,sduque38@uan.edu.co
39,Natalia Correa Sandoval,12242304071,Contaduría Pública,ncorrea39@uan.edu.co
40,Esteban Ramírez Novoa,12242525435,Ingeniería Electrónica,eramirez40@uan.edu.co
